index	officeName	address	latitude	longitude	nearestBranch2	nrstBrDist2	nearestBranch1	nrstBrDist1	nearestBranch	nrstBrDist
239	서울삼각산동(취)	서울시 강북구 삼양로19길 59 대선빌딩 101호	37.6156962	127.0193252	서울삼양동우체국	907	서울강북우체국	1233	서울삼양동우체국	907
240	서울삼성1동(취)	서울특별시 강남구 영동대로96길 37 203호(삼성동)	37.5116326	127.0655128	서울잠실우성(취)	849	서울무역센터우체국	569	서울무역센터우체국	569
241	서울삼성2동(취)	서울특별시 강남구 삼성로107길 5(삼성동)	37.511453	127.053451	서울해청아파트(취)	949	서울무역센터우체국	503	서울A.I.D아파트(취)	662
242	서울삼양동우체국	서울시 강북구 삼양로 229	37.623833	127.0183507	서울송천동우체국	1361	서울강북우체국	894	서울송천동우체국	1361
243	서울삼청동우체국	서울특별시 종로구 북촌로 112 (삼청동)	37.587395	126.9847662	성균관대학교(취)	739	서울관훈동(취)	1689	서울지방우정청	2041
244	서울상계10동우체국	서울 노원구 노원로 510(상계10동)	37.6612189	127.0601815	서울상계6동우체국	889	서울방학동우체국	1581	서울공릉2(취)	4392
245	서울상계6동우체국	서울 노원구 노해로 448(상계6동)	37.6534145	127.0579037	서울창동동아(취)	716	서울상계10동우체국	889	서울상계10동우체국	889
246	서울상도동우체국	서울특별시 동작구 상도로 236 (상도동)	37.5049649	126.9448422	서울신길7동(취)	1958	서울노량진1동(취)	652	서울은천동우체국	2143
247	서울상록회관우체국	서울특별시 강남구 언주로 508 1F(역삼동)	37.5001298	127.0444508	서울역삼성보(취)	932	서울도곡서린(취)	920	서울도곡서린(취)	920
248	서울상봉1동(취)	서울시 중랑구 상봉중앙로1길 12 (상봉동)	37.5995979	127.0873868	서울중랑우체국	608	서울면목2동(취)	1575	서울중화동우체국	664
249	서울상암동(취)	서울특별시 마포구 월드컵북로 352(상암동 115-1)	37.5769007	126.8931528	서울수색우체국	612	서울모래내우체국	1711	서울성산동우체국	1621
250	서울서교동우체국	서울 마포구 양화로 62(서교동)	37.5503343	126.9156286	서울창전동우체국	928	서울망원동우체국	930	서울동교동(취)	1420
251	서울서부지방법원우체국	서울 마포구 마포대로 174(공덕동)	37.5493527	126.9536426	서울청파3가(취)	1048	서울공덕2동(취)	279	서울보라매동(취)	6941
252	서울서초1동우체국	서울특별시 서초구 효령로60길 13 (서초동)	37.4848996	127.0187592	서울서초2동(취)	927	서울교대역(취)	936	서울서초2동(취)	927
253	서울서초2동(취)	서울특별시 서초구 서운로 19 (서초2동)	37.4856657	127.0291519	서울양재동우체국	773	서울무지개아파트(취)	695	서울양재동우체국	773
254	서울서초3동우체국	서울특별시 서초구 반포대로 99 (서초3동)	37.4890301	127.008631	서울서초구진(취)	640	서울교대역(취)	437	서울역삼우성(취)	2055
255	서울서초구진(취)	서울특별시 서초구 효령로 224 (서초3동)	37.4832553	127.008523	서울역삼우성(취)	2360	서울서초3동우체국	640	서울서초3동우체국	640
256	서울서초우체국	서울특별시 서초구 동산로 19 (양재동) 서울서초우체국	37.469881	127.041272	서울양재동우체국	1671	과천우면(취)	1050	과천우면(취)	1050
257	서울석관1동(취)	서울 성북구 한천로 584 (석관동)	37.6116136	127.0621531	서울중화동우체국	2011	광운대학교(취)	891	광운대학교(취)	891
258	서울성공회대학교(취)	서울특별시 구로구 연동로 320 (항동)	37.4877355	126.825157	서울오류역전(취)	2123	서울구로우체국	970	서울구로우체국	970
259	서울성내1동우체국	서울특별시 강동구 양재대로 1309(성내동)	37.5338624	127.1246613	서울천호3동(취)	1256	서울둔촌2동(취)	1279	서울천호3동(취)	1256
260	서울성동우체국	서울특별시 성동구 왕십리로 303 (행당동)	37.5597309	127.0297129	서울왕십리우체국	785	서울금호동우체국	1046	서울왕십리우체국	785
261	서울성북우체국	서울특별시 성북구 동소문로 310 (하월곡동)	37.6050277	127.028272	서울송천동우체국	1163	서울삼각산동(취)	1426	서울송천동우체국	1163
262	서울성산2동우체국	서울 마포구 월드컵북로 227(성산동)	37.565725	126.908906	서울성산유원(취)	327	서울모래내우체국	1180	서울성산동우체국	437
263	서울성산동우체국	서울 마포구 월드컵북로 112(성산동)	37.5696624	126.9089923	서울성산유원(취)	318	서울성산2동우체국	437	서울망원동우체국	1945
264	서울성산유원(취)	서울 마포구 월드컵북로26길 17(성산동)	37.5677159	126.9116201	서울연희동우체국	1786	서울성산동우체국	318	서울성산동우체국	318
265	서울성수동우체국	서울특별시 성동구 아차산로 104 (성수동2가)	37.5444502	127.0553861	서울청담청하(취)	2274	서울뚝섬우체국	621	서울뚝섬우체국	621
266	서울세검정우체국	서울특별시 종로구 세검정로 258 (신영동)	37.6008707	126.9597652	서울홍제동우체국	2493	상명대학교(취)	515	서울녹번동(취)	2377
267	서울소공동우체국	"서울특별시 중구 남대문로1길 34, 1층 (북창동)"	37.5625399	126.9775618	서울중앙우체국	417	서울마포우체국	416	서울마포우체국	416
268	서울송천동우체국	서울시 강북구 도봉로 71	37.6154577	127.0295465	서울쌍문한양(취)	3271	서울삼각산동(취)	909	광운대학교(취)	2727
269	서울송파우체국	서울특별시 송파구 오금로 323(오금동)	37.5057714	127.1312871	서울송파한양(취)	1330	서울방이동우체국	810	서울방이동우체국	810
270	서울송파한양(취)	서울특별시 송파구 송이로 26(송파동)	37.502919	127.116754	하남우체국	2541	서울가락본동우체국	851	서울가락극동(취)	1609
271	서울수색우체국	서울특별시 은평구 수색로 248(수색동)	37.5817114	126.8965324	서울신사미성(취)	1496	서울상암동(취)	612	서울상암동(취)	612
272	서울수유동우체국	서울시 강북구 삼양로 468	37.6448989	127.0159534	서울쌍문한양(취)	1395	서울도봉우체국	1636	서울삼양동우체국	2347
273	서울시범아파트(취)	"서울특별시 용산구 이촌로14길 16 (이촌2동,시범아파트)"	37.5280113	126.9543063	서울용문동우체국	926	국방부구내우체국	1966	서울용문동우체국	926
274	서울시흥1동우체국	서울특별시 금천구 독산로 123 (시흥동)	37.4581964	126.9050617	서울시흥동우체국	683	서울금천우체국	1425	서울구로디지털단지우체국	2842
275	서울시흥3동(취)	서울특별시 금천구 시흥대로 77 (시흥동)	37.4409565	126.9029003	서울시흥동우체국	1367	서울시흥1동우체국	1922	서울시흥동우체국	1367
276	서울시흥동우체국	서울특별시 금천구 시흥대로 217 (시흥동)	37.4531467	126.9006686	서울신림동우체국	3920	서울시흥1동우체국	683	서울시흥1동우체국	683
277	서울신길2동(취)	서울특별시 영등포구 도신로 195 (신길동)	37.5116246	126.912955	서울신길7동(취)	1053	국회구내우체국	1741	서울신길3동(취)	1423
278	서울신길3동(취)	서울특별시 영등포구 가마산로51길 1 (신길동)	37.5033917	126.9006742	서울영등포3동(취)	2151	서울대림1동(취)	1029	서울구로5동(취)	1111
279	서울신길7동(취)	서울특별시 영등포구 영등포로 422 (신길동)	37.5122564	126.9247831	서울여의대방로(취)	934	국회구내우체국	940	서울여의대방로(취)	934
280	서울신내동우체국	서울시 중랑구 신내로17길 112 (신내동)	37.6170135	127.090468	서울중화동우체국	2057	서울공릉2(취)	1283	서울공릉2(취)	1283
281	서울신당동우체국	서울특별시 중구 다산로 128-8 (신당동)	37.5548573	127.011259	서울퇴계로5가우체국	814	서울금호동우체국	749	서울금호동우체국	749
282	서울신당현대(취)	서울특별시 중구 다산로36나길 7 (신당동)	37.5604955	127.0195162	서울창신1동(취)	1356	서울금호동우체국	633	서울금호동우체국	633
283	서울신림동부(취)	서울특별시 관악구 문성로31길 38(신림동) 서울신림동부우편취급국	37.484961	126.933138	서울청룡동(취)	0	서울관악우체국	0	서울청룡동(취)	0
284	서울신림동우체국	서울 관악구 대학5길 38(신림동) 서울신림동우체국	37.4690982	126.940016	서울행운동우체국	1840	서울관악우체국	1863	서울행운동우체국	1840
285	서울신반포(취)	서울특별시 서초구 신반포로 177 (잠원동)	37.5060582	127.0033885	서울신사현대(취)	2650	서울반포4동(취)	859	서울반포4동(취)	859
286	서울신사미성(취)	서울특별시 은평구 은평터널로7길 2(신사동)	37.5926726	126.9063284	서울은평현대(취)	973	서울수색우체국	1496	서울은평현대(취)	973
287	서울신사현대(취)	서울특별시 강남구 강남대로 620 206호(신사동)	37.524124	127.022883	서울영동우체국	1416	서울미성아파트(취)	58	용산전자단지우체국	5172
288	서울신월2동우체국	서울특별시 양천구 중앙로 309 (신월동)	37.5235756	126.8508603	서울신정1동우체국	1004	서울남부지방법원출장소	1155	서울신정1동우체국	1004
289	서울신월3동우체국	서울특별시 양천구 남부순환로 364 (신월동)	37.5346316	126.8287077	서울화곡3동(취)	837	부천고강동우체국	1356	서울화곡3동(취)	837
290	서울신정1동우체국	서울특별시 양천구 신월로 368 (신정동)	37.521853	126.8619551	서울화곡4동우체국	1170	서울남부지방법원출장소	150	서울남부지방법원출장소	150
291	서울신촌우체국	서울 서대문구 신촌로 161 (대현동)	37.5606558	126.9465796	서울이화여자대학교우체국	519	서울노고산동(취)	989	서강대학교(취)	1186
292	서울쌍문2동우체국	서울시 도봉구 도봉로125길 88	37.656309	127.037626	서울창5동우체국	675	서울도봉우체국	819	서울창5동우체국	675
293	서울쌍문한양(취)	서울시 도봉구 도봉로103길 10	37.6448882	127.0316465	서울창5동우체국	1246	서울도봉우체국	562	서울창5동우체국	1246
294	서울아산병원(취)	서울특별시 송파구 올림픽로43길 88(풍납2동)	37.526922	127.108381	서울천호3동(취)	2893	서울성내1동우체국	1639	서울성내1동우체국	1639
295	서울안국동우체국	서울특별시 종로구 율곡로 49 (안국동)	37.5777233	126.9836103	서울통의동우체국	934	서울관훈동(취)	617	서울관훈동(취)	617
296	서울암사3동(취)	서울특별시 강동구 고덕로27길 28(암사동)	37.5559112	127.1380327	서울천호3동(취)	1762	서울명일동우체국	806	구리수택동우체국	3935
297	서울양재동우체국	서울특별시 서초구 남부순환로 356길 5(양재동) 2층	37.4846765	127.0377593	서울역삼우성(취)	1352	서울서초2동(취)	773	서울도곡서린(취)	905
298	서울양천우체국	서울특별시 양천구 목동서로 117 (목동)	37.5325686	126.8759272	서울화곡4동우체국	1193	서울문래현대A(취)	1494	서울화곡4동우체국	1193
299	서울양평1가(취)	서울특별시 영등포구 선유서로26길 24 (양평동1가)	37.5240535	126.8876716	서울영등포3동(취)	1712	서울문래현대A(취)	579	서울문래현대A(취)	579
300	서울여의대방로(취)	서울특별시 영등포구 여의대방로 379 (여의도동)	37.5190914	126.9309136	여의도우체국	878	국회구내우체국	128	여의도우체국	878
301	서울여의도광장우체국	서울특별시 영등포구 국회대로68길 7 (여의도동)	37.5294223	126.9194817	여의도우체국	662	국회구내우체국	1407	서울창전동우체국	2118
302	서울역삼1동우체국	서울특별시 강남구 테헤란로 131(역삼동)	37.5000287	127.0329141	서울역삼우성(취)	568	서울논현거평(취)	755	서울논현거평(취)	755
303	서울역삼성보(취)	"서울특별시 강남구 선릉로 519, 2층(역삼동)"	37.5079152	127.0404957	서울해청아파트(취)	755	서울상록회관우체국	932	서울논현거평(취)	1081
304	서울역삼우성(취)	서울특별시 강남구 테헤란로4길 46(역삼동)	37.4953323	127.0303725	서울영동우체국	2072	서울무지개아파트(취)	400	서울역삼1동우체국	568
305	서울역촌동(취)	서울특별시 은평구 갈현로 94(역촌동)	37.6087908	126.9194059	서울응암1동우체국	1074	서울대조동우체국	787	서울갈현1동(취)	1444
306	서울연신내우체국	서울특별시 은평구 연서로 306(불광동)	37.6181782	126.9365216	서울응암1동우체국	2072	서울대조동우체국	1056	서울갈현1동(취)	1815
307	서울연희동우체국	서울 서대문구 증가로 12 (연희동)	37.5695231	126.9315855	서울이화여자대학교우체국	1764	서대문우체국	971	서울동교동(취)	1341
308	서울염창동우체국	서울 강서구 공항대로 623(염창동)	37.5554133	126.8690436	서울화곡4동우체국	2619	서울목동동신아파트(취)	655	서울화곡4동우체국	2619
309	서울영동우체국	서울특별시 강남구 학동로 212(논현동)	37.5139273	127.0324644	서울해청아파트(취)	972	서울논현2동(취)	695	서울논현2동(취)	695
310	서울영등포3동(취)	"서울특별시 영등포구 양산로 214 (영등포동5가, 영등포현대프라자)"	37.5221501	126.9067833	서울영등포시범A(취)	694	서울당산2동(취)	1052	서울영등포시범A(취)	694
311	서울영등포시범A(취)	서울특별시 영등포구 버드나루로19길 3 (당산동)	37.5283625	126.9077059	서울전경련(취)	1271	서울영등포3동(취)	694	서울당산2동(취)	749
312	서울오류역전(취)	서울특별시 구로구 경인로20길 13 (오류동)	37.4954036	126.8470424	서울화곡4동우체국	4329	서울고척동우체국	1647	광명철산1동(취)	1798
313	서울옥수동(취)	"서울특별시 성동구 독서당로 173 (옥수동, 극동그린아파트 상가)"	37.5420106	127.0102726	서울퇴계로5가우체국	1649	서울신당동우체국	1428	서울금호동우체국	1646
314	서울왕십리우체국	서울특별시 성동구 마장로 194 (홍익동)	37.5654865	127.0348508	서울용두1동(취)	1296	서울성동우체국	785	서울용두1동(취)	1296
315	서울용두1동(취)	서울특별시 동대문구 정릉천동로 58 롯데캐슬피렌체 상가 113호 (용두동)	37.5771457	127.0358247	서울제기동우체국	687	동대문우체국	909	서울제기동우체국	687
316	서울용문동우체국	서울특별시 용산구 원효로41길 47 (원효로3가)	37.5353044	126.959382	서울용산우체국	671	서울시범아파트(취)	926	용산전자단지우체국	1190
317	서울용산우체국	서울특별시 용산구 한강대로 118 (한강로2가)	37.5337273	126.9666747	용산전자단지우체국	932	서울용문동우체국	671	서울용문동우체국	671
318	서울은천동우체국	서울 관악구 봉천로27길 58(봉천동) 서울은천동우체국	37.4858218	126.9416698	서울청룡동(취)	764	서울신림동부(취)	764	서울행운동우체국	1285
319	서울은평우체국	서울특별시 은평구 진관2로 29-8(진관동)	37.6361626	126.9198605	서울응암1동우체국	3932	서울갈현1동(취)	1641	서울갈현1동(취)	1641
320	서울은평현대(취)	서울특별시 은평구 은평로 60(신사동)	37.5985458	126.9144604	서울응암동우체국	894	서울신사미성(취)	973	서울응암1동우체국	1142
321	서울을지로4가우체국	"서울특별시 중구 을지로 154-2 (을지로4가), ☎ 02-2265-3117"	37.5670145	126.9978305	서울종로5가우체국	531	서울다동(취)	1382	서울종로5가우체국	531
322	서울응암1동우체국	"서울특별시 은평구 은평로 170 1층(응암동,상현빌딩)"	37.6011777	126.9268794	서울응암동우체국	1397	서울역촌동(취)	1074	서울역촌동(취)	1074
323	서울응암동우체국	서울특별시 은평구 응암로 214(응암동)	37.5909271	126.9177495	서울홍제동우체국	3012	서울은평현대(취)	894	서울은평현대(취)	894
324	서울이화여자대학교우체국	서울 서대문구 이화여대길 52 (대현동)	37.5642551	126.9503079	서울홍제동우체국	1770	서울신촌우체국	519	서울신촌우체국	519
325	서울일원본동우체국	서울특별시 강남구 광평로20길 8(일원본동)	37.4830532	127.0865019	서울잠실우성(취)	2902	서울강남우체국	1385	서울강남우체국	1385
326	서울잠실우성(취)	서울특별시 송파구 올림픽로4길 48(잠실7동)프리마상가 205	37.5068555	127.0729819	서울해청아파트(취)	2758	서울삼성1동(취)	849	서울삼성1동(취)	849
327	서울전경련(취)	서울특별시 영등포구 여의대로 24 지하1층	37.5222075	126.9197669	여의도우체국	432	서울여의도광장우체국	801	서울여의도광장우체국	801
328	서울제기2동(취)	서울특별시 동대문구 안암로 86 (제기동)	37.5833223	127.0305254	서울제기동우체국	540	서울용두1동(취)	831	서울제기동우체국	540
329	서울제기동우체국	서울특별시 동대문구 고산자로 476 오성빌딩 (제기동)	37.5833116	127.0366022	서울창신2동(취)	2235	서울제기2동(취)	540	서울동소문동우체국	2650
330	서울종로5가우체국	서울특별시 종로구 종로 207-1 (종로5가)	37.5711458	127.0008561	서울창신1동(취)	1246	서울을지로4가우체국	531	서울창신2동(취)	1411
331	서울중계동우체국	서울 노원구 한글비석로 286(중계본동)	37.6425901	127.0835819	서울창동동아(취)	3104	서울노원우체국	474	서울공릉2(취)	1982
332	서울중랑우체국	서울특별시 중랑구 망우로 271 (상봉동)	37.5957576	127.0824964	서울중화동우체국	569	서울상봉1동(취)	608	서울중화동우체국	569
333	서울중앙우체국	서울특별시 중구 소공로 70 (충무로1가)	37.5617378	126.9821467	서울충무로2가우체국	642	서울마포우체국	14	서울마포우체국	14
334	서울중화동우체국	서울시 중랑구 동일로 784 (중화동)	37.6004812	127.0800002	서울창동동아(취)	6212	서울중랑우체국	569	서울석관1동(취)	2011
335	서울지방우정청	서울 종로구 종로 6 광화문우체국	37.5698001	126.9780682	서울통의동우체국	1037	광화문우체국	16	경찰청우체국	1281
336	서울창5동우체국	서울시 도봉구 노해로 309	37.6517903	127.0427103	서울창동동아(취)	682	서울쌍문2동우체국	675	서울상계6동우체국	1362
337	서울창동동아(취)	서울시 도봉구 노해로 384 1층	37.6511681	127.050345	퇴계원우체국	8243	서울창5동우체국	682	서울창5동우체국	682
338	서울창신1동(취)	서울특별시 종로구 종로 328 (창신동)	37.572123	127.0148186	서울창신2동(취)	961	동대문우체국	1039	서울창신2동(취)	961
339	서울창신2동(취)	서울특별시 종로구 낙산길 198 (창신동)	37.5804209	127.0117238	서울혜화동우체국	1151	서울창신1동(취)	961	서울동소문동우체국	1083
340	서울창전동우체국	"서울특별시 마포구 독막로 109(상수동95-3, 홍익대학교 사회교육관 1층)"	37.5478695	126.9256141	여의도우체국	2598	서울서교동우체국	928	서울서교동우체국	928
341	서울천호3동(취)	서울특별시 강동구 성안로 191(천호동)	37.540081	127.1364712	하남우체국	4472	서울강동우체국	724	서울명일동우체국	1424
342	서울청담청하(취)	서울특별시 강남구 도산대로 507 207호(청담동)	37.5247108	127.0485212	서울해청아파트(취)	1240	서울A.I.D아파트(취)	931	서울신사현대(취)	2280
343	서울청룡동(취)	서울 관악구 쑥고개로 88(봉천동) 서울청룡동우편취급국	37.484961	126.933138	서울행운동우체국	1971	서울신림동부(취)	0	서울은천동우체국	764
344	서울청파3가(취)	서울특별시 용산구 청파로47길 7 (청파동3가)	37.5463644	126.9648311	서울후암동우체국	1227	서울남영동우체국	723	서울남영동우체국	723
345	서울충무로2가우체국	서울특별시 중구 삼일대로6길 5 (충무로2가)	37.562505	126.989311	서울퇴계로5가우체국	1387	서울중앙우체국	642	서울마포우체국	648
346	서울통의동우체국	서울특별시 종로구 자하문로 30 (통의동)	37.5782677	126.9731239	성균관대학교(취)	2031	서울내수동(취)	618	서울내수동(취)	618
347	서울퇴계로5가우체국	서울특별시 중구 퇴계로 270 (장충동2가)	37.5553677	127.0021234	서울후암동우체국	2256	서울신당동우체국	814	서울신당동우체국	814
348	서울해청아파트(취)	서울특별시 강남구 학동로56길 45(삼성동)	37.5143172	127.0433865	용산전자단지우체국	7101	서울역삼성보(취)	755	서울역삼성보(취)	755
349	서울행운동우체국	서울 관악구 남부순환로 1841(봉천동) 서울행운동우체국	37.480795	126.954696	용산전자단지우체국	5037	서울봉천동우체국	683	서울봉천동우체국	683
350	서울혜화동우체국	서울특별시 종로구 혜화로 1 (혜화동)	37.5858505	127.0006907	성균관대학교(취)	692	서울동소문동우체국	766	성균관대학교(취)	692
351	서울홍제동우체국	서울 서대문구 통일로 419 (홍제동)	37.5801662	126.9488595	성균관대학교(취)	4008	서울이화여자대학교우체국	1770	서울이화여자대학교우체국	1770
352	서울화곡3동(취)	서울 강서구 화곡로 13길28(화곡3동)	37.541133	126.8334863	서울화곡5동(취)	732	서울신월3동우체국	837	서울발산동우체국	1502
353	서울화곡4동우체국	서울 강서구 곰달래로 265(화곡4동)	37.5323949	126.8624998	서울화곡5동(취)	2371	서울신정1동우체국	1170	서울발산동우체국	3497
354	서울화곡5동(취)	서울 강서구 화곡로31길 52(우장산동)	37.5445354	126.8405477	여의도우체국	7720	서울화곡3동(취)	732	서울화곡3동(취)	732
355	서울후암동우체국	서울특별시 용산구 후암로 58-1 (후암동)	37.5510955	126.9773096	용산전자단지우체국	3055	서울남영동우체국	793	서울남영동우체국	793
356	서인천우체국	인천 서구 서곶로 318(심곡동)	37.542376	126.6825141	인천청라1동우체국	2791	부평우체국	4380	인천계산동우체국	3690
357	서종우체국	경기 양평군 서종면 하문호길 3	37.6058317	127.3488643	양평양서우체국	7196	경기조안우체국	5261	경기조안우체국	5261
358	서탄우체국	평택시 서탄면 금암2길 126	37.1077259	127.0351234	평택하북(취)	2562	병점우체국	11043	제309군사우편출장소	3167
359	선원우체국	인천광역시 강화군 선원면 대문고개로 18	37.7131939	126.4841026	양도우체국	7878	강화갑곳리(취)	3551	강화갑곳리(취)	3551
360	설악우체국	경기 가평군 설악면 신천중앙로 109 (설악우체국)	37.6772806	127.491333	청평우체국	9127	서종우체국	14943	가평우체국	17154
361	성균관대학교(취)	서울특별시 종로구 성균관로 25-2 (명륜3가)	37.5871833	126.9930833	용산전자단지우체국	7297	서울혜화동우체국	692	서울삼청동우체국	739
